Country,Year,Month,Sector,Value
Japan,2019.0,6.0,Domestic Aviation,0.025
Japan,2019.0,6.0,Ground Transport,0.458
Japan,2019.0,6.0,Industry,0.61
Japan,2019.0,6.0,International Aviation,0.052
Japan,2019.0,6.0,Power,1.526
Japan,2019.0,6.0,Residential,0.64
ROW,2019.0,6.0,Domestic Aviation,0.182
ROW,2019.0,6.0,Ground Transport,4.24
ROW,2019.0,6.0,Industry,8.717
ROW,2019.0,6.0,International Aviation,0.823
ROW,2019.0,6.0,Power,9.137
ROW,2019.0,6.0,Residential,5.053
Russia,2019.0,6.0,Domestic Aviation,0.037
Russia,2019.0,6.0,Ground Transport,0.476
Russia,2019.0,6.0,Industry,0.614
Russia,2019.0,6.0,International Aviation,0.033
Russia,2019.0,6.0,Power,3.057
Russia,2019.0,6.0,Residential,0.917
Spain,2019.0,6.0,Domestic Aviation,0.015
Spain,2019.0,6.0,Ground Transport,0.105
Spain,2019.0,6.0,Industry,0.132
Spain,2019.0,6.0,International Aviation,0.069
Spain,2019.0,6.0,Power,0.135
Spain,2019.0,6.0,Residential,0.171
United Kingdom,2019.0,6.0,Domestic Aviation,0.005
United Kingdom,2019.0,6.0,Ground Transport,0.212
United Kingdom,2019.0,6.0,Industry,0.163
United Kingdom,2019.0,6.0,International Aviation,0.094
United Kingdom,2019.0,6.0,Power,0.336
United Kingdom,2019.0,6.0,Residential,0.303
United States,2019.0,6.0,Domestic Aviation,0.421
United States,2019.0,6.0,Ground Transport,3.955
United States,2019.0,6.0,Industry,2.562
United States,2019.0,6.0,International Aviation,0.23
United States,2019.0,6.0,Power,3.452
United States,2019.0,6.0,Residential,2.511
WORLD,2019.0,6.0,Domestic Aviation,0.919
WORLD,2019.0,6.0,Ground Transport,13.993
WORLD,2019.0,6.0,Industry,26.6
WORLD,2019.0,6.0,International Aviation,1.768
WORLD,2019.0,6.0,Power,38.383
WORLD,2019.0,6.0,Residential,17.357
Brazil,2019.0,7.0,Domestic Aviation,0.033
Brazil,2019.0,7.0,Ground Transport,0.459
Brazil,2019.0,7.0,Industry,0.252
Brazil,2019.0,7.0,International Aviation,0.021
Brazil,2019.0,7.0,Power,0.113
Brazil,2019.0,7.0,Residential,0.098
China,2019.0,7.0,Domestic Aviation,0.163
China,2019.0,7.0,Ground Transport,2.534
China,2019.0,7.0,Industry,10.222
China,2019.0,7.0,International Aviation,0.078
China,2019.0,7.0,Power,14.546
China,2019.0,7.0,Residential,3.82
France,2019.0,7.0,Domestic Aviation,0.006
France,2019.0,7.0,Ground Transport,0.319
France,2019.0,7.0,Industry,0.165
France,2019.0,7.0,International Aviation,0.049
France,2019.0,7.0,Power,0.143
France,2019.0,7.0,Residential,0.357
Germany,2019.0,7.0,Domestic Aviation,0.006
Germany,2019.0,7.0,Ground Transport,0.416
Germany,2019.0,7.0,Industry,0.35
Germany,2019.0,7.0,International Aviation,0.071
Germany,2019.0,7.0,Power,0.965
Germany,2019.0,7.0,Residential,0.619
India,2019.0,7.0,Domestic Aviation,0.021
India,2019.0,7.0,Ground Transport,0.852
India,2019.0,7.0,Industry,2.073
India,2019.0,7.0,International Aviation,0.033
India,2019.0,7.0,Power,3.361
India,2019.0,7.0,Residential,1.461
Italy,2019.0,7.0,Domestic Aviation,0.005
Italy,2019.0,7.0,Ground Transport,0.203
Italy,2019.0,7.0,Industry,0.15
Italy,2019.0,7.0,International Aviation,0.035
Italy,2019.0,7.0,Power,0.35
Italy,2019.0,7.0,Residential,0.417
Japan,2019.0,7.0,Domestic Aviation,0.025
Japan,2019.0,7.0,Ground Transport,0.49
Japan,2019.0,7.0,Industry,0.698
Japan,2019.0,7.0,International Aviation,0.051
Japan,2019.0,7.0,Power,1.746
Japan,2019.0,7.0,Residential,0.61
ROW,2019.0,7.0,Domestic Aviation,0.188
ROW,2019.0,7.0,Ground Transport,5.751
ROW,2019.0,7.0,Industry,9.518
ROW,2019.0,7.0,International Aviation,0.766
ROW,2019.0,7.0,Power,10.02
ROW,2019.0,7.0,Residential,5.148
Russia,2019.0,7.0,Domestic Aviation,0.041
Russia,2019.0,7.0,Ground Transport,0.483
Russia,2019.0,7.0,Industry,0.618
Russia,2019.0,7.0,International Aviation,0.03
Russia,2019.0,7.0,Power,3.074
Russia,2019.0,7.0,Residential,0.967
Spain,2019.0,7.0,Domestic Aviation,0.015
Spain,2019.0,7.0,Ground Transport,0.123
Spain,2019.0,7.0,Industry,0.171
Spain,2019.0,7.0,International Aviation,0.056
Spain,2019.0,7.0,Power,0.175
Spain,2019.0,7.0,Residential,0.174
United Kingdom,2019.0,7.0,Domestic Aviation,0.007
United Kingdom,2019.0,7.0,Ground Transport,0.326
United Kingdom,2019.0,7.0,Industry,0.107
United Kingdom,2019.0,7.0,International Aviation,0.087
United Kingdom,2019.0,7.0,Power,0.22
United Kingdom,2019.0,7.0,Residential,0.272
United States,2019.0,7.0,Domestic Aviation,0.445
United States,2019.0,7.0,Ground Transport,4.249
United States,2019.0,7.0,Industry,2.712
United States,2019.0,7.0,International Aviation,0.219
United States,2019.0,7.0,Power,3.89
United States,2019.0,7.0,Residential,2.574
WORLD,2019.0,7.0,Domestic Aviation,0.959
WORLD,2019.0,7.0,Ground Transport,17.085
WORLD,2019.0,7.0,Industry,27.716
WORLD,2019.0,7.0,International Aviation,1.649
WORLD,2019.0,7.0,Power,40.169
WORLD,2019.0,7.0,Residential,17.579
Brazil,2019.0,8.0,Domestic Aviation,0.033
Brazil,2019.0,8.0,Ground Transport,0.473
Brazil,2019.0,8.0,Industry,0.26
Brazil,2019.0,8.0,International Aviation,0.021
Brazil,2019.0,8.0,Power,0.117
Brazil,2019.0,8.0,Residential,0.098
China,2019.0,8.0,Domestic Aviation,0.161
China,2019.0,8.0,Ground Transport,2.534
China,2019.0,8.0,Industry,10.373
China,2019.0,8.0,International Aviation,0.081
China,2019.0,8.0,Power,14.76
China,2019.0,8.0,Residential,3.948
France,2019.0,8.0,Domestic Aviation,0.006
France,2019.0,8.0,Ground Transport,0.332
France,2019.0,8.0,Industry,0.151
France,2019.0,8.0,International Aviation,0.046
France,2019.0,8.0,Power,0.131
France,2019.0,8.0,Residential,0.334
Germany,2019.0,8.0,Domestic Aviation,0.006
Germany,2019.0,8.0,Ground Transport,0.431
Germany,2019.0,8.0,Industry,0.193
Germany,2019.0,8.0,International Aviation,0.067
Germany,2019.0,8.0,Power,0.533
Germany,2019.0,8.0,Residential,0.6
India,2019.0,8.0,Domestic Aviation,0.02
India,2019.0,8.0,Ground Transport,0.85
India,2019.0,8.0,Industry,2.145
India,2019.0,8.0,International Aviation,0.034
India,2019.0,8.0,Power,3.478
India,2019.0,8.0,Residential,1.479
Italy,2019.0,8.0,Domestic Aviation,0.004
Italy,2019.0,8.0,Ground Transport,0.259
Italy,2019.0,8.0,Industry,0.168
Italy,2019.0,8.0,International Aviation,0.029
Italy,2019.0,8.0,Power,0.393
Italy,2019.0,8.0,Residential,0.419
Japan,2019.0,8.0,Domestic Aviation,0.024
Japan,2019.0,8.0,Ground Transport,0.494
Japan,2019.0,8.0,Industry,0.73
Japan,2019.0,8.0,International Aviation,0.05
Japan,2019.0,8.0,Power,1.826
Japan,2019.0,8.0,Residential,0.577
ROW,2019.0,8.0,Domestic Aviation,0.183
ROW,2019.0,8.0,Ground Transport,6.122
ROW,2019.0,8.0,Industry,9.615
ROW,2019.0,8.0,International Aviation,0.728
ROW,2019.0,8.0,Power,10.26
ROW,2019.0,8.0,Residential,5.483
